protein	lineage	selector	n_paired_mice	median_paired_CLR_difference	direction_consistency	pvalue	FDR	excluded_selector_protein	eligible_discovery_result
anti-mouse CD223 (LAG-3)	CD8	RNA_activation	42	0.011344540864229202	0.5476190476190477	0.6391501426696777	0.8245036840438842	False	True
anti-mouse CD301a	CD8	RNA_activation	42	0.008651301264762878	0.5238095238095238	0.6391501426696777	0.8245036840438842	False	True
anti-mouse/rat XCR1	CD8	RNA_activation	42	0.00970231369137764	0.5714285714285714	0.6302385926246643	0.8245036840438842	False	True
Rat IgG2b,  Isotype Ctrl	CD8	RNA_activation	42	0.00016826391220092773	0.5	0.66619473695755	0.8263377025723457	False	True
anti-human/mouse integrin 7	CD8	RNA_activation	42	0.028383970260620117	0.5714285714285714	0.66619473695755	0.8263377025723457	False	True
anti-mouse CD163	CD8	RNA_activation	42	0.0091266930103302	0.5476190476190477	0.6481140851974487	0.8263377025723457	False	True
anti-mouse CD272 (BTLA)	CD8	RNA_activation	42	-0.017766334116458893	0.47619047619047616	0.66619473695755	0.8263377025723457	False	True
anti-mouse Ly49H	CD8	RNA_activation	42	0.002073541283607483	0.5238095238095238	0.6936804056167603	0.8522359269005911	False	True
anti-mouse Ly-6G	CD8	RNA_activation	42	0.0060264356434345245	0.5714285714285714	0.721575140953064	0.8699363848873388	False	True
Rat IgG2c,  Isotype Ctrl	CD8	RNA_activation	42	-0.002266108989715576	0.5	0.721575140953064	0.8699363848873388	False	True
anti-mouse CD20	CD8	RNA_activation	42	0.0058869123458862305	0.5952380952380952	0.7498452663421631	0.8874315537443949	False	True
anti-mouse CD172a (SIRP)	CD8	RNA_activation	42	-0.0013156086206436157	0.47619047619047616	0.7498452663421631	0.8874315537443949	False	True
anti-mouse CD21/CD35 (CR2/CR1)	CD8	RNA_activation	42	-0.011263668537139893	0.40476190476190477	0.7880614399909973	0.9158551870165644	False	True
anti-mouse IgM	CD8	RNA_activation	42	0.0048626200295984745	0.5714285714285714	0.7880614399909973	0.9158551870165644	False	True
anti-mouse CD106	CD8	RNA_activation	42	-0.008549002930521965	0.42857142857142855	0.8267948627471924	0.9355836604770861	False	True
Armenian Hamster IgG Isotype Ctrl	CD8	RNA_activation	42	-0.0009309053421020508	0.5	0.8267948627471924	0.9355836604770861	False	True
anti-mouse Ly49D	CD8	RNA_activation	42	0.0027965307235717773	0.5238095238095238	0.8170679211616516	0.9355836604770861	False	True
anti-mouse CD23	CD8	RNA_activation	42	-0.0034210681915283203	0.47619047619047616	0.8463271856307983	0.9493583212728085	False	True
anti-mouse CD134 (OX-40)	CD8	RNA_activation	42	-0.0006262362003326416	0.5	0.8757998943328857	0.96009024201321	False	True
anti-mouse CD49b	CD8	RNA_activation	42	-0.020350627601146698	0.4523809523809524	0.8856646418571472	0.96009024201321	False	True
anti-mouse CD41	CD8	RNA_activation	42	0.004907712340354919	0.5	0.8856646418571472	0.96009024201321	False	True
anti-mouse CD45.1	CD8	RNA_activation	42	0.0199660062789917	0.5238095238095238	0.8757998943328857	0.96009024201321	False	True
anti-mouse CD150 (SLAM)	CD8	RNA_activation	42	-0.01122426986694336	0.4523809523809524	0.9054458737373352	0.9653100637364979	False	True
anti-mouse CD71	CD8	RNA_activation	42	-0.020824909210205078	0.4523809523809524	0.9054458737373352	0.9653100637364979	False	True
anti-mouse CD169/Siglec-1	CD8	RNA_activation	42	0.0018440037965774536	0.5238095238095238	0.9153593182563782	0.9678799348776458	False	True
Rat IgG1,  isotype Ctrl	CD8	RNA_activation	42	-0.011545687913894653	0.47619047619047616	0.9451726078987122	0.9880718489487966	False	True
Rat IgG1,  Isotype Ctrl	CD8	RNA_activation	42	0.010697603225708008	0.5952380952380952	0.9650934338569641	0.9880718489487966	False	True
anti-mouse CD68	CD8	RNA_activation	42	0.0010912418365478516	0.5	0.9650934338569641	0.9880718489487966	False	True
anti-mouse CD138 (Syndecan-1)	CD8	RNA_activation	42	-0.002327537862583995	0.5	0.9551295042037964	0.9880718489487966	False	True
anti-mouse CD200R (OX2R)	CD8	RNA_activation	42	-0.0015725046396255493	0.5	0.9750628471374512	0.9904181675648126	False	True
anti-mouse CD22	CD8	RNA_activation	42	0.005227208137512207	0.5238095238095238	0.9850361347198486	0.9927317295223475	False	True
anti-mouse CD36	CD8	RNA_activation	42	-0.003323167562484741	0.47619047619047616	0.9950118064880371	0.9950118064880371	False	True
