source_cell_type	ligand	receptor	target_lineage	n_mice	source_detection_fraction	target_receptor_detection_fraction	ligand_rho_RNA	ligand_FDR_RNA	ligand_rho_ADT	ligand_FDR_ADT	receptor_log2FC_RNA_selector	receptor_FDR_RNA_selector	receptor_log2FC_ADT_selector	receptor_FDR_ADT_selector	cross_modal_positive_direction	evidence_class	association_component	receptor_component	expression_component	replication_component	interaction_score	evidence_tier	tier_rank
monocyte_macrophage	Lgals1	Cd69	CD4	45	0.7807729061050843	0.6489416623644813	0.08774703557312252	0.9441039446304704	0.11673254281949934	0.8552903027448547	1.9274054	1.9767398454773044e-06	-1.0030642	5.056158660183512e-07	False	C — correlational	0.10223978919631094	0.32123423333333334	0.7118118203689655	0.5	0.3584548486258352	Tier 3 — exploratory	3
dendritic	Edil3	Itgav	CD4	38	0.13545882642075974	0.5743048897411314	0.06500328299409061	0.964089593822613	0.3475596410593127	0.41554560187031864	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	True	C — correlational	0.20628146202670167	0.5185069999999999	0.27891695246441633	0.5	0.3576086522022288	Tier 3 — exploratory	3
B_cell	Lgals1	Cd69	CD8	34	0.7095472210164819	0.7205164139805493	0.19877769289533992	0.7928982784932093	-0.30359052711993884	0.5879041139820904	1.9068255	1.5142373072636011e-05	-0.67057323	0.0001101337737488	False	C — correlational	0.09938884644766996	0.31780425	0.715010782601675	0.5	0.35723931527701946	Tier 3 — exploratory	3
T_cell	Cd80	Cd28	CD4	47	0.13125844185318908	0.7874474518769823	0.039546716003700286	0.9768512995899417	0.7106845513413507	0.00012639037783949023	0.25903893	0.0036979580456348	-0.76767826	5.056158660183512e-07	False	C — correlational	0.3751156336725255	0.043173155	0.3214951408258557	0.75	0.35638278870055506	Tier 3 — exploratory	3
neutrophil	Vegfa	Cd44	CD4	19	0.2761779637633229	0.7128106792536324	-0.22807017543859648	0.89272256556299	0.7263157894736841	0.06705326336733893	0.9703646	1.9767398454773044e-06	-0.07839012	0.3301218053312729	False	C — correlational	0.36315789473684207	0.16172743333333334	0.44369201248728746	0.5	0.35627552398868556	Tier 3 — exploratory	3
fibroblast	Ccl11	Ccr2	CD4	34	0.4917875104089056	0.4642672763478134	0.33414820473644	0.6315142013982823	-0.5676088617265087	0.0681333722380128	0.54284763	0.0007041352440217	0.71051407	0.0003262745216705	False	C — correlational	0.16707410236822	0.2088936166666667	0.4778293084349416	0.75	0.35626520168253206	Tier 3 — exploratory	3
dendritic	Icam1	Il2ra	CD8	38	0.5402550229572546	0.43156240710069216	0.16765156489384986	0.819021166643874	-0.12847450207922956	0.8664853282367705	2.4752283	1.5142373072636011e-05	0.65311027	0.0001744031490831	False	C — correlational	0.08382578244692493	0.5213897616666666	0.4828599777944663	0.5	0.3562584598319837	Tier 3 — exploratory	3
B_cell	Cxcl10	Sdc4	CD4	34	0.2658228772179121	0.11269267645106573	-0.22566844919786092	0.8181630407925856	0.4242933537051184	0.29343496005707087	1.3839569	4.1123406689643414e-05	2.142109	1.6900057552958785e-06	False	C — correlational	0.2121466768525592	0.5876776499999999	0.17307885918161564	0.5	0.3557865212347189	Tier 3 — exploratory	3
monocyte_macrophage	Tgfb1	Itgb8	CD4	45	0.7404321083380583	0.18253558522014898	-0.12266139657444006	0.9094098854071448	-0.0836627140974967	0.9043964345559761	0.6891265	0.0051899204345096	3.683282	5.056158660183512e-07	False	C — correlational	0.0	0.7287347500000001	0.367634612368417	0.5	0.3557106099736834	Tier 3 — exploratory	3
melanoma	Tfpi	Sdc4	CD4	42	0.5465804856859828	0.11269267645106573	0.33619641844258974	0.5642733749173227	-0.2900089133781703	0.517963204927132	1.3839569	4.1123406689643414e-05	2.142109	1.6900057552958785e-06	False	C — correlational	0.16809820922129487	0.5876776499999999	0.24818464462548206	0.5	0.35539071465254957	Tier 3 — exploratory	3
NK	Hapln1	Il1rl1	CD4	43	0.0427222674907337	0.12390294269488902	0.09226819691935971	0.9434027633670761	-0.015554213228631831	0.9846232841179648	3.4961667	5.75638756121595e-06	1.8961377	1.5663207222128604e-06	False	C — correlational	0.046134098459679855	0.8987173999999999	0.07275585653883883	0.5	0.35537745576865565	Tier 3 — exploratory	3
neutrophil	Hapln1	Il1rl1	CD4	19	0.044099802020515354	0.12390294269488902	0.0896705462399578	0.9657953045265132	-0.12307722032935385	0.910859634140518	3.4961667	5.75638756121595e-06	1.8961377	1.5663207222128604e-06	False	C — correlational	0.0448352731199789	0.8987173999999999	0.0739195186848769	0.5	0.355155599328968	Tier 3 — exploratory	3
fibroblast	Vegfa	Itgav	CD4	34	0.5400196127143351	0.5743048897411314	-0.17372039724980898	0.8886938014452703	0.08082505729564553	0.9236285620365247	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.040412528647822764	0.5185069999999999	0.5568984684284513	0.5	0.3551508287124282	Tier 3 — exploratory	3
monocyte_macrophage	Adam9	Itgav	CD4	45	0.5710692223759508	0.5743048897411314	-0.07444005270092226	0.9475720298240906	0.061001317523056646	0.9328393916275941	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.030500658761528323	0.5185069999999999	0.5726847708741468	0.5	0.3548389347413643	Tier 3 — exploratory	3
T_cell	Timp2	Itgb1	CD4	47	0.09519629873753102	0.6470241168227746	0.37280296022201664	0.4349679379109198	0.5105226641998151	0.04444515639494513	-0.27310753	0.0222896046084842	-1.6698895	5.056158660183512e-07	False	C — correlational	0.44166281221091586	0.0	0.24818199192416848	0.75	0.35421838265865424	Tier 3 — exploratory	3
T_cell	Icam1	Il2ra	CD8	47	0.33127878502251057	0.43156240710069216	0.01156336725254394	0.9870068757895499	0.25647548566142464	0.5879041139820904	2.4752283	1.5142373072636011e-05	0.65311027	0.0001744031490831	True	C — correlational	0.13401942645698428	0.5213897616666666	0.3781103937816407	0.5	0.3528763184329393	Tier 3 — exploratory	3
dendritic	Tnfsf8	Tnfrsf8	CD4	38	0.033780502432238964	0.08982963345379454	0.18848511835180237	0.8563103527570595	-0.37237303869502425	0.3376113079837554	1.0535593	0.0127863749654505	3.9547806	5.056158660183512e-07	False	C — correlational	0.09424255917590119	0.8347233166666667	0.05508620654368061	0.5	0.35268296618696815	Tier 3 — exploratory	3
