candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
monocyte_macrophage → Lgals1 → Cd69 → CD4	extracellular	cell-cell / extracellular signal	0.4765958722113755	0.8552903027448547	False	False	False	True	True	False	False	True	interaction-supported	1.4765958722113754
melanoma → App → Rpsa → CD4	extracellular	cell-cell / extracellular signal	0.4761630861469149	0.3269990735633715	False	False	False	True	True	False	False	True	interaction-supported	1.4761630861469148
neutrophil → S100a8 → Cd69 → CD4	extracellular	cell-cell / extracellular signal	0.4747630357729246	0.914601162741465	False	False	False	True	True	False	False	True	interaction-supported	1.4747630357729247
monocyte_macrophage → Calr → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.4746536547302538	0.98230648046101	False	False	False	True	True	False	False	True	interaction-supported	1.4746536547302538
NK → H2-K1 → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.474080452442906	0.5167024532180873	False	False	False	True	True	False	False	True	interaction-supported	1.474080452442906
neutrophil → B2m → Cd3d → CD8	extracellular	cell-cell / extracellular signal	0.4728216626977781	0.700222244704099	False	False	False	True	True	False	False	True	interaction-supported	1.4728216626977781
T_cell → Pkm → Cd44 → CD4	extracellular	cell-cell / extracellular signal	0.4726140133240938	0.0074199777790774	False	True	False	True	True	False	False	True	ADT-supported	1.472614013324094
T_cell → Lgals1 → Cd69 → CD8	extracellular	cell-cell / extracellular signal	0.472180176631603	0.2103526788122582	False	False	False	True	True	False	False	True	interaction-supported	1.472180176631603
NK → H2-K1 → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4721213116017566	0.5167024532180873	False	False	False	True	True	False	False	True	interaction-supported	1.4721213116017566
NK → H2-K1 → Cd8b1 → CD8	extracellular	cell-cell / extracellular signal	0.4719929349560868	0.5167024532180873	False	False	False	True	True	False	False	True	interaction-supported	1.4719929349560867
neutrophil → B2m → Cd3g → CD8	extracellular	cell-cell / extracellular signal	0.4709267561292209	0.700222244704099	False	False	False	True	True	False	False	True	interaction-supported	1.470926756129221
