candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
T_cell → Col4a6 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1792077563021042	0.960007523591194	False	False	False	False	True	False	True	True	interaction-supported	1.1792077563021042
monocyte_macrophage → Ccl17 → Ccr8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1788601683439558	0.8081068450088696	False	False	False	False	True	False	True	True	interaction-supported	1.178860168343956
monocyte_macrophage → Tnf → Traf2 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1772113538050657	0.9834138908286792	False	False	False	True	True	False	True	False	interaction-supported	1.1772113538050657
dendritic → Cd28 → Cd80 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1770265873671432	0.7371372895894477	False	False	False	False	True	False	True	True	interaction-supported	1.1770265873671433
monocyte_macrophage → Fndc5 → Itgav → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1761738276036988	0.7411080649984922	False	False	False	False	True	False	True	True	interaction-supported	1.1761738276036988
melanoma → Icam4 → Itgav → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1749746801692453	0.9299498399340388	False	False	False	False	True	False	True	True	interaction-supported	1.1749746801692453
melanoma → Ccl24 → Ccr2 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1741808799543053	0.8132227793746961	False	False	False	False	True	False	True	True	interaction-supported	1.1741808799543052
T_cell → Ceacam2 → Havcr2 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1735757628312049	0.574564995959852	False	False	False	False	True	False	True	True	interaction-supported	1.173575762831205
NK → Sema3e → Plxnd1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1731363987870184	0.7027466464625324	False	False	False	False	False	False	True	True	interaction-supported	1.1731363987870185
melanoma → Trf → Tfrc → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1731177032996644	0.7676352845428274	False	False	False	True	True	False	True	True	interaction-supported	1.1731177032996645
T_cell → Cxcl12 → Itgav → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1711451138217166	0.807769611010994	False	False	False	False	True	False	True	True	interaction-supported	1.1711451138217166
melanoma → H2-Aa → Lag3 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1705363561505939	0.6150153474366438	False	False	False	True	True	False	True	True	interaction-supported	1.170536356150594
T_cell → Mmp9 → Ifnar1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1705056580118034	0.2106149212334387	False	False	False	False	True	False	True	True	interaction-supported	1.1705056580118034
T_cell → Ccl17 → Ccr8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1695689075830625	0.8093612698965914	False	False	False	False	True	False	True	True	interaction-supported	1.1695689075830624
monocyte_macrophage → Ccl24 → Ccr3 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1694970015918169	0.6272388128738406	False	False	False	False	False	False	True	True	interaction-supported	1.169497001591817
melanoma → Ntrk3 → Ptprs → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1689008822417993	0.690880081923875	False	False	False	False	True	False	True	True	interaction-supported	1.1689008822417992
dendritic → Ccl28 → Ccr3 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1681847945450609	0.7272365186224934	False	False	False	False	False	False	True	True	interaction-supported	1.168184794545061
monocyte_macrophage → Tnfsf13b → Tfrc → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1670934707589076	0.8251706669632621	False	False	False	False	True	False	True	True	interaction-supported	1.1670934707589076
melanoma → Cd28 → Cd80 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.166922539328162	0.855813202164567	False	False	False	True	True	False	True	True	interaction-supported	1.166922539328162
monocyte_macrophage → Sema4a → Plxnd1 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1660628183263126	0.8383982130462695	False	False	False	True	False	False	True	True	interaction-supported	1.1660628183263126
melanoma → Serpinf1 → Plxdc1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1658472748816397	0.3863205879840168	False	False	False	True	False	False	True	True	interaction-supported	1.1658472748816398
monocyte_macrophage → Tnf → Sema4c → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1657679690574885	0.9834138908286792	False	False	False	True	False	False	True	False	interaction-supported	1.1657679690574885
dendritic → L1cam → Cd9 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1642647657599312	0.7717004592906542	False	False	False	True	True	False	True	True	interaction-supported	1.1642647657599312
T_cell → Gpc3 → Cd81 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1642568384964847	0.8537277420288606	False	False	False	False	True	False	True	True	interaction-supported	1.1642568384964846
dendritic → Ptn → Ptprs → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1633221794973307	0.5365003138997497	False	False	False	False	True	False	True	True	interaction-supported	1.1633221794973307
NK → Cd40lg → Traf3 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1629115172355277	0.938737279367857	False	False	False	False	True	False	True	True	interaction-supported	1.1629115172355278
NK → Cd28 → Cd80 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1610234464668024	0.9725817629871294	False	False	False	True	True	False	True	True	interaction-supported	1.1610234464668023
monocyte_macrophage → Sema3d → Plxnd1 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1604672288585031	0.7824467546001129	False	False	False	False	False	False	True	True	interaction-supported	1.1604672288585032
