candidate	candidate_family_id	n_mice_supporting	n_mice_opposing	direction_consistency	expected_direction	mouse_effect_median	mouse_effect_mean	mouse_effect_IQR	mouse_effect_sign	LOOCV_runs	LOOCV_failed_runs	LOOCV_top1_runs	LOOCV_top3_runs	LOOCV_top10_runs	LOOCV_top1_fraction	LOOCV_top10_fraction	LOOCV_top3_fraction	LOOCV_rank_median	LOOCV_rank_mean	LOOCV_rank_min	LOOCV_rank_max	LOOCV_rank_IQR	LOOCV_score_median	LOOCV_score_min	LOOCV_score_max	LOOCV_failure_reason	n_positive	n_negative	n_zero_or_undetermined	n_mice_effects	majority_direction	majority_direction_fraction	two_sided_direction_strength	n_mice
melanoma → Col4a5 → Cd47 → CD8	MULTI|melanoma|Col4a5	0	0		UNRESOLVED	-9.52346683326774e-05	-0.0002038532429117	0.0010015016069238	negative	42	0	0	0	0	0.0	0.0	0.0	177.5	177.0952380952381	167.0	187.0	12.0	0.5858180324964134	0.5858180324964134	0.58988307314682		17	24	1	42	negative	0.5714285714285714	0.1428571428571428	42
melanoma → Nid1 → Itgb3 → CD8	MULTI|melanoma|Nid1	0	0		UNRESOLVED	4.186955577012348e-05	5.31649792761383e-05	0.0005157366801831	positive	42	0	0	0	0	0.0	0.0	0.0	175.5	175.33333333333334	167.0	188.0	10.0	0.5861525253508527	0.5861525253508527	0.5902175660012592		23	18	1	42	positive	0.5476190476190477	0.0952380952380953	42
T_cell → Penk → Oprm1 → CD4	MULTI|T_cell|Penk	0	0		UNRESOLVED	-5.863241022780433e-05	0.0001651159632935	0.0008939881285167	negative	47	0	0	0	0	0.0	0.0	0.0	104.0	101.7872340425532	94.0	109.0	7.5	0.6144809254839984	0.6144809254839984	0.6181041138897955		19	27	1	47	negative	0.574468085106383	0.148936170212766	47
T_cell → Tgfb1 → Tgfbr1_Tgfbr2 → CD4	MULTI|T_cell|Tgfb1	0	0		UNRESOLVED	0.0001714226677706	0.0002143014324981	0.0022598372186268	positive	47	0	0	0	0	0.0	0.0	0.0	113.0	114.02127659574468	105.0	130.0	4.0	0.607548087917117	0.607548087917117	0.6111712763229141		28	18	1	47	positive	0.5957446808510638	0.1914893617021276	47
NK → Thy1 → Itgax_Itgb2 → CD8	MULTI|NK|Thy1	0	0		UNRESOLVED	-0.0015276517692789	-0.0067004442314496	0.0125934178950866	negative	43	0	0	0	0	0.0	0.0	0.0	95.0	95.46511627906976	90.0	102.0	7.0	0.618050351873538	0.618050351873538	0.6220186058417919		10	32	1	43	negative	0.7441860465116279	0.4883720930232558	43
melanoma → App → Lrp10 → CD8	MULTI|melanoma|App	0	0		UNRESOLVED	5.387431981160311e-05	0.0027189444783992	0.0062959535599092	positive	42	0	0	0	0	0.0	0.0	0.0	148.5	149.16666666666666	145.0	154.0	4.0	0.5983043932519488	0.5983043932519488	0.5983043932519488		21	20	1	42	positive	0.5	0.0	42
NK → Spp1 → Itgav_Itgb1 → CD8	MULTI|NK|Spp1	0	0		UNRESOLVED	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	43	0	0	0	0	0.0	0.0	0.0	84.0	83.67441860465117	81.0	86.0	0.5	0.6245907550109892	0.6245907550109892	0.6285590089792431		12	30	1	43	negative	0.6976744186046512	0.3953488372093023	43
dendritic → Cd72 → Cd5 → CD8	MULTI|dendritic|Cd72	0	0		UNRESOLVED	-8.3851406296143e-05	-0.0008320182286323	0.0008974549574476	negative	38	0	0	0	0	0.0	0.0	0.0	211.0	210.68421052631575	209.0	211.0	0.75	0.5553979045401783	0.5553979045401783	0.5599024090446828		8	28	2	38	negative	0.7368421052631579	0.4736842105263157	38
NK → Gpi1 → Amfr → CD8	MULTI|NK|Gpi1	0	0		UNRESOLVED	-0.0011876427142437	-0.0048091249156807	0.0063688429789449	negative	43	0	0	0	0	0.0	0.0	0.0	214.0	214.3953488372093	213.0	218.0	0.5	0.5450404209963202	0.5450404209963202	0.5490086749645742		12	30	1	43	negative	0.6976744186046512	0.3953488372093023	43
melanoma → App → Aplp2 → CD8	MULTI|melanoma|App	0	0		UNRESOLVED	5.387431981160311e-05	0.0027189444783992	0.0062959535599092	positive	42	0	0	0	0	0.0	0.0	0.0	257.0	257.45238095238096	256.0	259.0	1.0	0.5149710599186155	0.5149710599186155	0.5149710599186155		21	20	1	42	positive	0.5	0.0	42
melanoma → App → Lrp6 → CD8	MULTI|melanoma|App	0	0		UNRESOLVED	5.387431981160311e-05	0.0027189444783992	0.0062959535599092	positive	42	0	0	0	0	0.0	0.0	0.0	148.5	149.16666666666666	145.0	154.0	4.0	0.5983043932519488	0.5983043932519488	0.5983043932519488		21	20	1	42	positive	0.5	0.0	42
melanoma → App → Ncstn → CD8	MULTI|melanoma|App	0	0		UNRESOLVED	5.387431981160311e-05	0.0027189444783992	0.0062959535599092	positive	42	0	0	0	0	0.0	0.0	0.0	257.0	257.45238095238096	256.0	259.0	1.0	0.5149710599186155	0.5149710599186155	0.5149710599186155		21	20	1	42	positive	0.5	0.0	42
T_cell → Itgb3bp → Itgb3 → CD8	MULTI|T_cell|Itgb3bp	0	0		UNRESOLVED	-0.0001034033221786	-0.0004191134509382	0.0010302734005606	negative	47	0	0	0	0	0.0	0.0	0.0	228.0	228.4255319148936	226.0	231.0	1.0	0.5310911733332219	0.5310911733332219	0.534714361739019		16	30	1	47	negative	0.6382978723404256	0.2765957446808511	47
T_cell → Lamc1 → Itga9_Itgb1 → CD4	MULTI|T_cell|Lamc1	0	0		UNRESOLVED	0.0003708434577323	0.0032878392445278	0.0081471849608575	positive	47	0	0	0	0	0.0	0.0	0.0	96.0	94.87234042553192	89.0	99.0	5.0	0.6172531192261292	0.6172531192261292	0.6208763076319262		30	16	1	47	positive	0.6382978723404256	0.2765957446808511	47
T_cell → Il10 → Cd27 → CD4	MULTI|T_cell|Il10	0	0		UNRESOLVED	-1.901857097662024e-05	-0.0001227322290676	0.0014128961100405	negative	47	0	0	0	0	0.0	0.0	0.0	144.0	143.4468085106383	126.0	153.0	7.0	0.5991371771971438	0.5991371771971438	0.6027603656029408		21	25	1	47	negative	0.5319148936170213	0.0638297872340425	47
T_cell → Adam9 → Itga6 → CD4	MULTI|T_cell|Adam9	0	0		UNRESOLVED	9.747345933624002e-05	0.000566671313262	0.0028001499872372	positive	47	0	0	0	0	0.0	0.0	0.0	249.0	248.6382978723404	243.0	254.0	4.0	0.5170796583793532	0.5170796583793532	0.5207028467851503		25	21	1	47	positive	0.5319148936170213	0.0638297872340425	47
NK → Ccl4 → Ccr8 → CD8	MULTI|NK|Ccl4	0	0		UNRESOLVED	0.0006141961162339	0.0151986849491685	0.0166809775828604	positive	43	0	0	0	0	0.0	0.0	0.0	112.0	114.11627906976744	105.0	134.0	7.5	0.6080676611560595	0.6080676611560595	0.6120359151243134		26	16	1	43	positive	0.6046511627906976	0.2093023255813952	43
T_cell → Tgfb1 → Tgfbr3 → CD4	MULTI|T_cell|Tgfb1	0	0		UNRESOLVED	0.0001714226677706	0.0002143014324981	0.0022598372186268	positive	47	0	0	0	0	0.0	0.0	0.0	113.0	114.02127659574468	105.0	130.0	4.0	0.607548087917117	0.607548087917117	0.6111712763229141		28	18	1	47	positive	0.5957446808510638	0.1914893617021276	47
T_cell → Fgf13 → Fgfr2 → CD4	MULTI|T_cell|Fgf13	0	0		UNRESOLVED	-0.000319086441934	-0.0030261178695477	0.0068128108234007	negative	47	0	0	0	0	0.0	0.0	0.0	120.0	121.02127659574468	110.0	138.0	2.5	0.6069856572984014	0.6069856572984014	0.6106088457041985		18	28	1	47	negative	0.5957446808510638	0.1914893617021276	47
