candidate	candidate_family_id	null_test_type	expected_direction	observed_statistic	observed_score	null_mean	null_sd	null_p95	null_p99	empirical_p	null_percentile	null_p95	null_p99	n_unique_null_scores	fraction_identical_to_observed	n_permutations	random_seed	null_status	null_model_type	empirical_FDR
fibroblast → Mfap2 → Notch1 → CD8	LR|fibroblast|Mfap2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5860069525732964	0.5860069525732964	0.585109893749767	0.008401553231015038	0.6007128349262376	0.610516756494865	0.4905094905094905	0.693	0.6007128349262376	0.610516756494865	10	0.183	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
fibroblast → Ccl11 → Ccr3 → CD4	LR|fibroblast|Ccl11	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6126631774311835	0.6126631774311835	0.6020945499802031	0.008361635905569037	0.6175651382154972	0.6273690597841246	0.15984015984015984	0.92	0.6175651382154972	0.6273690597841246	10	0.079	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.3228354379433516
fibroblast → Lama4 → Itga3_Itgb1 → CD4	LR|fibroblast|Lama4	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5244278833135364	0.5244278833135364	0.5188494519409874	0.008623768153343946	0.5342318048821638	0.5440357264507912	0.3006993006993007	0.818	0.5342318048821638	0.5440357264507912	10	0.118	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.4993756243756243
fibroblast → Icam1 → Itgal_Itgb2 → CD8	LR|fibroblast|Icam1	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5966963076047361	0.5966963076047361	0.6004659154478734	0.00822542446630588	0.6163041507419911	0.6212061115263048	0.7252747252747253	0.525	0.6163041507419911	0.6212061115263048	9	0.25	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
neutrophil → Vegfa → Itga9 → CD4	LR|neutrophil|Vegfa	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6062710620779285	0.6062710620779285	0.605218430498981	0.010145145470035779	0.6238149217270513	0.6326745708498582	0.4825174825174825	0.755	0.6238149217270513	0.6326745708498582	7	0.237	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
neutrophil → Vegfa → Ret → CD8	LR|neutrophil|Vegfa	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5217656819862949	0.5217656819862949	0.5206867346178738	0.010123396103142763	0.5393095416354177	0.548081471459979	0.4775224775224775	0.752	0.5393095416354177	0.548081471459979	8	0.229	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
neutrophil → Lamb3 → Itga9_Itgb1 → CD4	LR|neutrophil|Lamb3	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5794390645554595	0.5794390645554595	0.5871408189414244	0.010166042243513017	0.6057548540291436	0.6145267838537051	1.0	0.516	0.6057548540291436	0.6145267838537051	7	0.516	1000	17	FAIL	within-candidate mouse-effect sign permutation	1.0
neutrophil → Ccl25 → Ccr10 → CD4	LR|neutrophil|Ccl25	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.622876669865581	0.622876669865581	0.6043240382866336	0.009829944483896081	0.622876669865581	0.6316485996901424	0.1038961038961039	0.972	0.622876669865581	0.6316485996901424	7	0.075	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.22470552703110847
neutrophil → Gpi1 → Amfr → CD8	LR|neutrophil|Gpi1	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5726815776907935	0.5726815776907935	0.5188833320767584	0.00967822962400515	0.5375938583925479	0.5463657882171093	0.000999000999000999	1.0	0.5375938583925479	0.5463657882171093	6	0.0	1000	17	PASS	within-candidate mouse-effect sign permutation	0.005161505161505162
fibroblast → Adam10 → Il6ra → CD8	LR|fibroblast|Adam10	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5164485914008629	0.5164485914008629	0.5204436894400785	0.008656889114609097	0.5360564345381178	0.5458603561067452	0.7122877122877123	0.507	0.5360564345381178	0.5458603561067452	10	0.219	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
neutrophil → Pdcd1lg2 → Pdcd2 → CD4	LR|neutrophil|Pdcd1lg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5411521364045133	0.5411521364045133	0.5220117855273202	0.009668545046271843	0.5411521364045133	0.5499240662290746	0.08791208791208792	0.972	0.5411521364045133	0.5499240662290746	7	0.059	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.19780219780219782
neutrophil → Pdcd1lg2 → Pdcd2 → CD8	LR|neutrophil|Pdcd1lg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5161454413453962	0.5161454413453962	0.514470002748905	0.009490397051533338	0.533689300994519	0.5424612308190804	0.46653346653346656	0.779	0.533689300994519	0.5424612308190804	6	0.245	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
fibroblast → Igsf10 → Cd200r4 → CD4	LR|fibroblast|Igsf10	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5699707939077779	0.5699707939077779	0.5793972644960134	0.008900901239095241	0.5993825586136602	0.604284519397974	1.0	0.269	0.5993825586136602	0.604284519397974	10	0.269	1000	17	FAIL	within-candidate mouse-effect sign permutation	1.0
neutrophil → Lamb3 → Itga2_Itgb1 → CD4	LR|neutrophil|Lamb3	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5707776231489584	0.5707776231489584	0.5783653424472041	0.009450813035713445	0.5970934126226426	0.605865342447204	1.0	0.492	0.5970934126226426	0.605865342447204	7	0.492	1000	17	FAIL	within-candidate mouse-effect sign permutation	1.0
fibroblast → Hspg2 → Itga2 → CD8	LR|fibroblast|Hspg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5948380592950322	0.5948380592950322	0.5735782553734635	0.007731172328120056	0.5899360985107184	0.5948380592950322	0.02097902097902098	0.991	0.5899360985107184	0.5948380592950322	10	0.011	1000	17	PASS	within-candidate mouse-effect sign permutation	0.05853146853146853
neutrophil → Pdcd1lg2 → Rgmb → CD4	LR|neutrophil|Pdcd1lg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6191383344340083	0.6191383344340083	0.6001295625041837	0.009353983059458646	0.6191383344340083	0.6279102642585697	0.08391608391608392	0.975	0.6191383344340083	0.6279102642585697	6	0.058	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.1934924579552679
fibroblast → Col6a2 → Itga2_Itgb1 → CD8	LR|fibroblast|Col6a2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5860257961728222	0.5860257961728222	0.5755944236238026	0.008495560502443173	0.590927756957136	0.6007316785257635	0.17582417582417584	0.922	0.590927756957136	0.6007316785257635	10	0.097	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.33749923545841914
