TF	lineage	contrast	level_a	level_b	activity_effect_a_minus_b	pvalue	FDR	n_strata	direction_consistency
Cebpg	CD4	48h_vs_12h	48	12	0.028598485416744694	0.1730994390339704	0.5297891921948791	4	0.75
Duxbl1	CD4	48h_vs_12h	48	12	0.1332561587684827	0.17013129970017515	0.5297891921948791	4	0.75
E2f3	CD4	48h_vs_12h	48	12	0.2234225798451517	0.17952592380452603	0.5332975971840331	4	0.5
Foxj2	CD4	48h_vs_12h	48	12	0.033135214616606214	0.1783921375819495	0.5332975971840331	4	0.75
Pparg	CD4	48h_vs_12h	48	12	0.16024650838101295	0.17866633810521138	0.5332975971840331	4	0.75
Crem	CD4	48h_vs_12h	48	12	-0.2597135888461069	0.18419651791003577	0.5416632344587279	4	0.75
Ctcf	CD4	48h_vs_12h	48	12	-0.02059641858190967	0.19128041612898972	0.5416632344587279	4	0.75
Ikzf1	CD4	48h_vs_12h	48	12	-0.1598032620995664	0.1910356751368334	0.5416632344587279	4	0.75
Rela	CD4	48h_vs_12h	48	12	-0.4772903989818662	0.190423340356764	0.5416632344587279	4	0.5
Zbtb33	CD4	48h_vs_12h	48	12	-0.08234890604928649	0.18597373804500938	0.5416632344587279	4	0.75
Lhx2	CD4	48h_vs_12h	48	12	0.1540393154343465	0.19423330000984262	0.544932313916503	4	0.75
Meis1	CD4	48h_vs_12h	48	12	0.13634930329748524	0.21243429468661346	0.5568141397109507	4	0.75
Nfatc2	CD4	48h_vs_12h	48	12	-0.22755775877331574	0.20549343710342116	0.5568141397109507	4	0.5
Nfic	CD4	48h_vs_12h	48	12	0.03350077851717927	0.2064840622232379	0.5568141397109507	4	0.75
Nr1h4	CD4	48h_vs_12h	48	12	-0.06112056081701177	0.21440542939734397	0.5568141397109507	4	0.75
Pbx2	CD4	48h_vs_12h	48	12	0.03136398066629545	0.2089789092893436	0.5568141397109507	4	0.75
Runx1	CD4	48h_vs_12h	48	12	-0.44042916079420574	0.2150074400864067	0.5568141397109507	4	0.75
Snapc4	CD4	48h_vs_12h	48	12	0.07447555237943138	0.21436085986996656	0.5568141397109507	4	0.75
Sp3	CD4	48h_vs_12h	48	12	0.056214034218443114	0.2103486698361181	0.5568141397109507	4	0.75
Thap1	CD4	48h_vs_12h	48	12	-0.21402433917430583	0.2028826826333503	0.5568141397109507	4	0.75
Egr1	CD4	48h_vs_12h	48	12	0.11076048023089859	0.2183891501319487	0.5607789194066141	4	0.75
Creb1	CD4	48h_vs_12h	48	12	0.1335397448028701	0.22567133933429562	0.5698201318190964	4	0.75
Trp73	CD4	48h_vs_12h	48	12	-0.11297616154498083	0.22563259248535794	0.5698201318190964	4	0.75
Esr1	CD4	48h_vs_12h	48	12	-0.024380847317747964	0.23767701368509797	0.5767799395571808	4	0.75
Fosl1	CD4	48h_vs_12h	48	12	-0.019751247947834887	0.23751911891951616	0.5767799395571808	4	0.5
Nfia	CD4	48h_vs_12h	48	12	0.06964142715927728	0.237945519619299	0.5767799395571808	4	0.75
Otx2	CD4	48h_vs_12h	48	12	0.009888798310727016	0.23327424981271738	0.5767799395571808	4	0.5
Zhx2	CD4	48h_vs_12h	48	12	-0.05624502945961063	0.2373792612942659	0.5767799395571808	4	0.5
Nfe2	CD4	48h_vs_12h	48	12	0.056600293561483855	0.24119319901325453	0.5800122166747311	4	0.75
